relative_path	color_text_info_list	name	text
0000\storytimeline_080000001.json	['Academia Tracen']		Esta... é a Academia Tracen.
0000\storytimeline_080000001.json	['Twinkle Series']		Aqui, jovens Umamusume promissoras se<n>\nreúnem para treinar como corredoras, seus corações<n>cheios\nde sonhos de glória encontrados na<n>Twinkle\nSeries...
0000\storytimeline_080000001.json			Junto com suas colegas de escola, elas<n>\npassam seus dias treinando tanto o corpo quanto a<n>\nmente...
0000\storytimeline_080000001.json			No entanto... nem todas estão satisfeitas com o<n>\nestado atual da academia.
0000\storytimeline_080000001.json		Director Akikawa	EMERGÊNCIA!
0000\storytimeline_080000001.json		Director Akikawa	ISTO <i>NÃO PODE</i> CONTINUAAAR!
0000\storytimeline_080000001.json		Tazuna Hayakawa	O-o que houve, Diretora?
0000\storytimeline_080000001.json	['Tazuna']	Director Akikawa	Tazuna! Eu, a diretora da Academia Tracen,<n>\namo minhas alunas mais do que tudo...
0000\storytimeline_080000001.json		Director Akikawa	Portanto, não suporto ver o potencial de nem<n>\nsequer uma única corredora sendo desperdiçado! E<n>\nainda assim, é exaaatamente isso que está acontecendo!
0000\storytimeline_080000001.json		Director Akikawa	E é por isso que...
0000\storytimeline_080000001.json	['new racing event']	Director Akikawa	Proposta! Criarei um evento de<n>\ncorrida completamente novo!
0000\storytimeline_080000001.json		Tazuna Hayakawa	O quê?! Um novo evento?! Do zero?!
0000\storytimeline_080000001.json		Director Akikawa	Afirmativo! Nossas alunas agora terão<n>\noutro conjunto de corridas pelas quais ansiar<n>\nalém da Twinkle Series!
0000\storytimeline_080000001.json	['all distances', 'All courses']	Director Akikawa	Um que inclua todas as distâncias! Todos os<n>\npercursos! Um evento de corrida diferente de tudo o que<n>\nveio antes!
0000\storytimeline_080000001.json		Director Akikawa	Vou chamá-lo de...
0000\storytimeline_080000001.json	['URA Finale']	Director Akikawa	URA Finale!
0000\storytimeline_080000001.json		Tazuna Hayakawa	URA... Finale...
0000\storytimeline_080000001.json		Director Akikawa	Prepare-se! Estaremos muito<n>ocupadas em breve!
0000\storytimeline_080000001.json		Director Akikawa	Rápido! Devemos agendar uma coletiva<n>\nde imprensa. O mundo precisa saber desta<n>\nnotícia!
0000\storytimeline_080000001.json		Tazuna Hayakawa	Diretora...
0000\storytimeline_080000001.json		Tazuna Hayakawa	Entendido. Deixe comigo!
0000\storytimeline_080000001.json			E assim começa a história de um novo<n>evento de corrida, o URA Finale.
0000\storytimeline_080000001.json			Criada para ajudar todas as Umamusume a brilharem,<n>\nesta corrida...
0000\storytimeline_080000001.json			Será o palco sobre o qual a história sua e da<n>\nsua aprendiz se desenrolará!
0000\storytimeline_080000001.json			O Começo! URA Finale!
0000\storytimeline_080000002.json	['Unity Cup']	Caster	Finalmente chegou, pessoal! A tão esperada<n>\nUnity Cup!
0000\storytimeline_080000002.json	['Twinkle Series']	Monólogo	A Unity Cup é uma competição que ocorre<n>\nsimultaneamente com a Twinkle Series.
0000\storytimeline_080000002.json	['Tracen Academy']	Caster	Este confronto de equipes organizado pela Academia<n>Tracen testará não apenas as habilidades<n>\nindividuais, mas também a sua<n>\nforça como uma equipe!
0000\storytimeline_080000002.json		Monólogo	No entanto, esta não é apenas uma<n>\ncompetição normal!
0000\storytimeline_080000002.json		Matikanefukukitaru	Precisamos salvar a academia da<n>\ndestruição certa!
0000\storytimeline_080000002.json		Haru Urara	Meu Deus, isso significa que somos<n>\nheroínas?!
0000\storytimeline_080000002.json		Rice Shower	E-eu não sei se consigo fazer isso...
0000\storytimeline_080000002.json		Taiki Shuttle	Você terá a gente ao seu lado, então é claro que<n>\nconsegue! Só temos que unir nossas forças<n>\ne sair por cima!
0000\storytimeline_080000002.json		Team Members	Siiiim!
0000\storytimeline_080000002.json		Little Cocon	Ha. Seria muito bom se bastasse<n>\nisso para vencer.
0000\storytimeline_080000002.json		Bitter Glasse	É, sério mesmo!
0000\storytimeline_080000002.json		Riko Kashimoto	Você realmente acha que pode derrubar a minha<n>\nequipe?
0000\storytimeline_080000002.json		Monólogo	Um confronto épico de equipes está prestes a<n>começar!
0000\storytimeline_080000002.json		Monólogo	Um confronto épico de equipes está prestes a<n>começar!
0000\storytimeline_080000004.json		Narradora	Desenhe uma nova trajetória...
0000\storytimeline_080000004.json		Narradora	Receberá a coroa sem igual?
0000\storytimeline_080000004.json		Narradora	Terá em mãos o nobre escudo?
0000\storytimeline_080000004.json		Narradora	Ou buscará ainda mais honra?
0000\storytimeline_080000004.json		Narradora	Não há um caminho definido.\nCom sua própria vontade, abra caminho para o futuro.
0000\storytimeline_080000004.json		Narradora	No palco de glória que aguarda adiante,\nerga o nome da mais forte.
0000\storytimeline_080000004.json		Narradora	Além de onde os sonhos habitam.\nAgora, desafie o começo.
0000\storytimeline_080000004.json		Narradora	"Make a new track！！
\n～O Início do Clímax～"